,MyoV Time (s),MyoV Disp (um),MyoXI Time (s),MyoXI Disp (um)
752,,,1.225817635942998,0.072
753,,,1.226600254642947,0.072
754,,,1.2272788039026077,0.0
755,,,1.2385605293897823,0.0
756,,,1.2396806529805309,0.0
757,,,1.2408380625543254,0.0
758,,,1.2408380625543254,0.036
759,,,1.2445974157905395,0.036
760,,,1.2475571841759256,0.0
761,,,1.249072770243603,0.0
762,,,1.2490959930881713,0.0
763,,,1.2492510538895507,0.0
764,,,1.2492510538895507,0.036
765,,,1.24956990597859,0.036
766,,,1.2553900940595062,0.0
767,,,1.2581470818942693,0.0
768,,,1.2584630413044389,0.0
769,,,1.2649455775949354,0.0
770,,,1.26650814818439,0.0
771,,,1.266564049405262,0.0
772,,,1.266564049405262,0.036
773,,,1.2668842742426714,0.036
774,,,1.2670749506014891,0.0
775,,,1.2674802249965529,0.0
776,,,1.2677771495090235,0.0
777,,,1.2690100519439875,0.0
778,,,1.2690100519439875,0.036
779,,,1.2697419006273032,0.036
780,,,1.2705732097745583,0.036
781,,,1.2707330236605374,0.036
782,,,1.2707330236605374,0.072
783,,,1.2718318411459615,0.072
784,,,1.2728377731669758,0.0
785,,,1.2781908799552069,0.0
786,,,1.2785640407644374,0.0
787,,,1.2803027427413936,0.0
788,,,1.2827258693061259,0.0
789,,,1.2827613372359403,0.0
790,,,1.2827613372359403,0.036
791,,,1.287119883198847,0.036
792,,,1.2896892717961288,0.0
793,,,1.2932061060973465,0.0
794,,,1.2937009227840361,0.0
795,,,1.2946904608072094,0.0
796,,,1.2946904608072094,0.036
797,,,1.2952092507739588,0.036
798,,,1.2984135596399993,0.036
799,,,1.2984906489034111,0.036
800,,,1.2984906489034111,0.072
801,,,1.3000362482039813,0.072
802,,,1.3000586079494783,0.072
803,,,1.300465562436103,0.072
804,,,1.300465562436103,0.108
805,,,1.301505520477769,0.108
806,,,1.3021901331904564,0.108
807,,,1.302341691591832,0.108
808,,,1.302341691591832,0.144
809,,,1.3095181273150702,0.144
810,,,1.3105425529301522,0.144
811,,,1.3107775010788254,0.144
812,,,1.3107775010788254,0.18
813,,,1.3113647401599957,0.18
814,,,1.312033417007659,0.18
815,,,1.3121143052307955,0.18
816,,,1.3121143052307955,0.216
817,,,1.313973758662585,0.216
818,,,1.31399002367976,0.216
819,,,1.3142442681736766,0.216
820,,,1.3142442681736766,0.252
821,,,1.316014942816211,0.252
822,,,1.3167497895958542,0.252
823,,,1.32548929523968,0.252
824,,,1.325640768653412,0.252
825,,,1.3258600791752881,0.252
826,,,1.3258600791752881,0.288
827,,,1.3298752545827943,0.288
828,,,1.3337387173121646,0.288
829,,,1.3340870547951083,0.288
830,,,1.3340870547951083,0.324
831,,,1.3415416142637087,0.324
832,,,1.3426875114014232,0.324
833,,,1.3437579509046573,0.324
834,,,1.3437579509046573,0.36
